"","strain","hit_score.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_id.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","description.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_score.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_id.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","description.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_score.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_id.methylmalonyl-CoA-epimerase-EC5-1-99-1","description.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_score.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_id.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","description.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_score.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_id.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","description.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_score.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_id.methylmalonyl-CoA-mutase-EC5-4-99-2","description.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_score.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_id.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","description.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_score.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_id.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","description.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_score.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","hit_id.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","description.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","pathway","hit_score.acrC","hit_id.acrC","description.acrC","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","hit_score.pduW","hit_id.pduW","hit_score.pduP","hit_id.pduP","hit_score.fucO","hit_id.fucO","hit_score.pduL","hit_id.pduL","hit_score.pduC","hit_id.pduC","hit_score.pduD","hit_id.pduD","hit_score.pduE","hit_id.pduE"
"44","Bacteroides_salanitronis",615.9,"NC_015164.1_2965/7-385","Bacteroides_salanitronis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194.5,"NC_015164.1_2966/1-142","Bacteroides_salanitronis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",236.2,"NC_015164.1_2969/1-134","Bacteroides_salanitronis_methylmalonyl-CoA-epimerase-EC5-1-99-1",942.9,"NC_015164.1_2968/3-517","Bacteroides_salanitronis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.5,"NC_015164.1_2967/188-305","Bacteroides_salanitronis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",852.3,"NC_015164.1_558/12-711","Bacteroides_salanitronis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Bacteroides_salyersiae",615.7,"NZ_CYXS01000014.1_39/10-385","Bacteroides_salyersiae_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194,"NZ_CYXS01000014.1_38/1-147","Bacteroides_salyersiae_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"NZ_CYXS01000014.1_35/1-134","Bacteroides_salyersiae_methylmalonyl-CoA-epimerase-EC5-1-99-1",938,"NZ_CYXS01000014.1_36/3-517","Bacteroides_salyersiae_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",95.6,"NZ_CYXS01000014.1_37/181-300","Bacteroides_salyersiae_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",864.2,"NZ_CYXS01000006.1_97/1-630","Bacteroides_salyersiae_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Bacteroides_sartorii",610.3,"NZ_JABVZU010000003.1_2304/8-385","Bacteroides_sartorii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",200.6,"NZ_JABVZU010000003.1_2303/1-143","Bacteroides_sartorii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.6,"NZ_JABVZU010000003.1_2300/1-137","Bacteroides_sartorii_methylmalonyl-CoA-epimerase-EC5-1-99-1",940.4,"NZ_JABVZU010000003.1_2301/3-517","Bacteroides_sartorii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",93.6,"NZ_JABVZU010000003.1_2302/176-304","Bacteroides_sartorii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",867.8,"NZ_JABVZU010000003.1_2718/1-635","Bacteroides_sartorii_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Bacteroides_stercorirosoris",615,"NZ_FQZN01000030.1_16/9-385","Bacteroides_stercorirosoris_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",201.3,"NZ_FQZN01000030.1_17/1-141","Bacteroides_stercorirosoris_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",243.6,"NZ_FQZN01000030.1_20/1-136","Bacteroides_stercorirosoris_methylmalonyl-CoA-epimerase-EC5-1-99-1",935.6,"NZ_FQZN01000030.1_19/3-517","Bacteroides_stercorirosoris_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",92.1,"NZ_FQZN01000030.1_18/178-305","Bacteroides_stercorirosoris_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",866.1,"NZ_FQZN01000027.1_11/1-618","Bacteroides_stercorirosoris_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Bacteroides_thetaiotaomicron",612.7,"NZ_CP040530.1_4428/8-385","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",203.5,"NZ_CP040530.1_4427/1-144","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"NZ_CP040530.1_4424/1-134","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.6,"NZ_CP040530.1_4425/3-517","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",89.3,"NZ_CP040530.1_4426/188-303","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",860,"NZ_CP040530.1_4836/1-631","Bacteroides_thetaiotaomicron_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Bacteroides_timonensis",611.9,"NZ_CBVI010000031.1_18/8-385","Bacteroides_timonensis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",201,"NZ_CBVI010000031.1_19/1-142","Bacteroides_timonensis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244.3,"NZ_CBVI010000031.1_22/1-136","Bacteroides_timonensis_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.4,"NZ_CBVI010000031.1_21/3-517","Bacteroides_timonensis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.1,"NZ_CBVI010000031.1_20/183-305","Bacteroides_timonensis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",861.7,"NZ_CBVI010000148.1_6/1-617","Bacteroides_timonensis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Bacteroides_vulgatus",613,"NZ_AP025240.1_2480/8-385","Bacteroides_vulgatus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.3,"NZ_AP025240.1_2481/1-143","Bacteroides_vulgatus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.7,"NZ_AP025240.1_2484/1-137","Bacteroides_vulgatus_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.8,"NZ_AP025240.1_2483/3-517","Bacteroides_vulgatus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.3,"NZ_AP025240.1_2482/178-304","Bacteroides_vulgatus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",869.8,"NZ_AP025240.1_310/1-635","Bacteroides_vulgatus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Barnesiella_intestinihominis",605.3,"NZ_JH815203.1_391/8-384","Barnesiella_intestinihominis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",181,"NZ_JH815203.1_392/1-143","Barnesiella_intestinihominis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",248.3,"NZ_JH815203.1_395/1-136","Barnesiella_intestinihominis_methylmalonyl-CoA-epimerase-EC5-1-99-1",938.9,"NZ_JH815203.1_394/3-517","Barnesiella_intestinihominis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",86.7,"NZ_JH815203.1_393/186-299","Barnesiella_intestinihominis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",843.9,"NZ_JH815204.1_463/22-707","Barnesiella_intestinihominis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Butyricimonas-virosa-DSM-23226-MAF-2",597.2,"1_2677/29-420","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",161.3,"1_2678/1-141","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",230.3,"1_2681/1-132","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",910.8,"1_2680/1-519","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",112.6,"1_2679/6-112","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",842.9,"1_1038/5-625","Butyricimonas-virosa-DSM-23226-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Butyricimonas_faecihominis",595.6,"NZ_JACIES010000001.1_746/29-420","Butyricimonas_faecihominis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",161.9,"NZ_JACIES010000001.1_745/1-143","Butyricimonas_faecihominis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",230.7,"NZ_JACIES010000001.1_742/1-132","Butyricimonas_faecihominis_methylmalonyl-CoA-epimerase-EC5-1-99-1",909.3,"NZ_JACIES010000001.1_743/1-519","Butyricimonas_faecihominis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",114.9,"NZ_JACIES010000001.1_744/6-112","Butyricimonas_faecihominis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",841.7,"NZ_JACIES010000006.1_143/5-625","Butyricimonas_faecihominis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Butyricimonas_paravirosa",595.1,"NZ_BMPA01000006.1_13/29-420","Butyricimonas_paravirosa_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",162.1,"NZ_BMPA01000006.1_12/1-143","Butyricimonas_paravirosa_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",230.7,"NZ_BMPA01000006.1_9/1-132","Butyricimonas_paravirosa_methylmalonyl-CoA-epimerase-EC5-1-99-1",911.1,"NZ_BMPA01000006.1_10/1-519","Butyricimonas_paravirosa_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",114.9,"NZ_BMPA01000006.1_11/6-112","Butyricimonas_paravirosa_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",842.5,"NZ_BMPA01000001.1_420/5-625","Butyricimonas_paravirosa_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Butyricimonas_synergistica",592.4,"NZ_KB903359.1_57/30-420","Butyricimonas_synergistica_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",165.1,"NZ_KB903359.1_56/1-140","Butyricimonas_synergistica_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",231.9,"NZ_KB903359.1_53/1-132","Butyricimonas_synergistica_methylmalonyl-CoA-epimerase-EC5-1-99-1",907.4,"NZ_KB903359.1_54/1-519","Butyricimonas_synergistica_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",115.2,"NZ_KB903359.1_55/1-111","Butyricimonas_synergistica_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",842.9,"NZ_KB903360.1_317/5-625","Butyricimonas_synergistica_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Cloacibacillus_evryensis",550.9,"NZ_KK073872.1_2309/3-372","Cloacibacillus_evryensis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",139.1,"NZ_KK073872.1_797/1-129","Cloacibacillus_evryensis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",226.4,"NZ_KK073872.1_794/1-133","Cloacibacillus_evryensis_methylmalonyl-CoA-epimerase-EC5-1-99-1",862.5,"NZ_KK073872.1_795/8-518","Cloacibacillus_evryensis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",87.8,"NZ_KK073872.1_796/1-127","Cloacibacillus_evryensis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",822.1,"NZ_KK073872.1_401/19-726","Cloacibacillus_evryensis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Cloacibacillus_porcorum",552.2,"NZ_CP016757.1_2405/3-372","Cloacibacillus_porcorum_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",141.4,"NZ_CP016757.1_865/1-133","Cloacibacillus_porcorum_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",225.5,"NZ_CP016757.1_862/1-133","Cloacibacillus_porcorum_methylmalonyl-CoA-epimerase-EC5-1-99-1",862.2,"NZ_CP016757.1_863/8-518","Cloacibacillus_porcorum_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",83,"NZ_CP016757.1_864/10-125","Cloacibacillus_porcorum_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",819.7,"NZ_CP016757.1_2679/11-727","Cloacibacillus_porcorum_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Clostridium_bifermentans",587.2,"NZ_CP079737.1_1103/3-393","Clostridium_bifermentans_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",163.3,"NZ_CP079737.1_1102/1-126","Clostridium_bifermentans_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",220.8,"NZ_CP079737.1_1099/1-135","Clostridium_bifermentans_methylmalonyl-CoA-epimerase-EC5-1-99-1",918.8,"NZ_CP079737.1_1100/2-515","Clostridium_bifermentans_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",97.1,"NZ_CP079737.1_1101/1-121","Clostridium_bifermentans_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",585.4,"NZ_CP079737.1_1096/3-552","Clostridium_bifermentans_methylmalonyl-CoA-mutase-EC5-4-99-2",685.5,"NZ_CP079737.1_1100/3-513","Clostridium_bifermentans_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Clostridium_glycolicum",575.4,"NZ_KE392229.1_115/4-398","Clostridium_glycolicum_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",134.7,"NZ_KE392229.1_116/1-126","Clostridium_glycolicum_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",209.7,"NZ_KE392229.1_119/1-135","Clostridium_glycolicum_methylmalonyl-CoA-epimerase-EC5-1-99-1",903.3,"NZ_KE392229.1_118/4-515","Clostridium_glycolicum_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",80.9,"NZ_KE392229.1_117/1-121","Clostridium_glycolicum_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",581,"NZ_KE392229.1_122/6-550","Clostridium_glycolicum_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Clostridium_sordellii",585,"NZ_CP014150.1_1242/3-393","Clostridium_sordellii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",158.1,"NZ_CP014150.1_1241/1-126","Clostridium_sordellii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",224,"NZ_CP014150.1_1238/1-135","Clostridium_sordellii_methylmalonyl-CoA-epimerase-EC5-1-99-1",914.8,"NZ_CP014150.1_1239/2-515","Clostridium_sordellii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",104.8,"NZ_CP014150.1_1240/1-117","Clostridium_sordellii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",587.9,"NZ_CP014150.1_1235/3-552","Clostridium_sordellii_methylmalonyl-CoA-mutase-EC5-4-99-2",679.8,"NZ_CP014150.1_1239/3-513","Clostridium_sordellii_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Clostridium_sticklandii",576.1,"NC_014614.1_931/2-402","Clostridium_sticklandii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",149,"NC_014614.1_930/1-128","Clostridium_sticklandii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",225.6,"NC_014614.1_927/1-135","Clostridium_sticklandii_methylmalonyl-CoA-epimerase-EC5-1-99-1",901.4,"NC_014614.1_928/2-513","Clostridium_sticklandii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",116.4,"NC_014614.1_929/1-133","Clostridium_sticklandii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",583.8,"NC_014614.1_924/7-556","Clostridium_sticklandii_methylmalonyl-CoA-mutase-EC5-4-99-2",687.8,"NC_014614.1_928/1-510","Clostridium_sticklandii_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Coprobacter_fastidiosus",615,"NZ_RBXN01000006.1_8/9-385","Coprobacter_fastidiosus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",183.4,"NZ_RBXN01000006.1_9/1-142","Coprobacter_fastidiosus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",251.3,"NZ_RBXN01000006.1_12/1-136","Coprobacter_fastidiosus_methylmalonyl-CoA-epimerase-EC5-1-99-1",932.7,"NZ_RBXN01000006.1_11/3-517","Coprobacter_fastidiosus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",86.5,"NZ_RBXN01000006.1_10/182-289","Coprobacter_fastidiosus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",839.5,"NZ_RBXN01000010.1_80/1-620","Coprobacter_fastidiosus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Coprobacter_secundus",614,"NZ_AP023322.1_1200/7-385","Coprobacter_secundus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",188.5,"NZ_AP023322.1_1199/1-143","Coprobacter_secundus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",248.6,"NZ_AP023322.1_1196/1-136","Coprobacter_secundus_methylmalonyl-CoA-epimerase-EC5-1-99-1",933.3,"NZ_AP023322.1_1197/3-517","Coprobacter_secundus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.4,"NZ_AP023322.1_1198/184-292","Coprobacter_secundus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",839.4,"NZ_AP023322.1_340/1-620","Coprobacter_secundus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Corynebacterium_amycolatum",NA,NA,NA,NA,NA,NA,168.3,"NZ_CP068168.1_167/15-149","Corynebacterium_amycolatum_methylmalonyl-CoA-epimerase-EC5-1-99-1",767.9,"NZ_CP068168.1_718/23-536","Corynebacterium_amycolatum_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,759.3,"NZ_CP068168.1_510/7-733","Corynebacterium_amycolatum_methylmalonyl-CoA-mutase-EC5-4-99-2",872.2,"NZ_CP068168.1_718/21-535","Corynebacterium_amycolatum_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",176.6,"NZ_CP068168.1_716/1-119","Corynebacterium_amycolatum_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",995.1,"NZ_CP068168.1_719/1-478","Corynebacterium_amycolatum_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Corynebacterium_durum",NA,NA,NA,110.4,"NZ_KB290830.1_124/2-122","Corynebacterium_durum_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",182.6,"NZ_KB290821.1_177/17-150","Corynebacterium_durum_methylmalonyl-CoA-epimerase-EC5-1-99-1",776.4,"NZ_KB290830.1_122/7-517","Corynebacterium_durum_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,747.8,"NZ_KB290831.1_80/21-734","Corynebacterium_durum_methylmalonyl-CoA-mutase-EC5-4-99-2",906.3,"NZ_KB290830.1_122/1-517","Corynebacterium_durum_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",183.2,"NZ_KB290830.1_124/1-121","Corynebacterium_durum_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",1046.3,"NZ_KB290830.1_121/1-498","Corynebacterium_durum_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Corynebacterium_glucuronolyticum",NA,NA,NA,117.5,"NZ_CP068162.1_1894/2-119","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",186.6,"NZ_CP068162.1_1604/16-152","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-epimerase-EC5-1-99-1",778,"NZ_CP068162.1_1995/19-542","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,744.7,"NZ_CP068162.1_1350/24-737","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-mutase-EC5-4-99-2",902.7,"NZ_CP068162.1_1896/1-517","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",172.1,"NZ_CP068162.1_1894/1-119","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",1039.6,"NZ_CP068162.1_1897/6-501","Corynebacterium_glucuronolyticum_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
