"","strain","hit_score.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_id.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","description.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_score.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_id.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","description.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_score.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_id.methylmalonyl-CoA-epimerase-EC5-1-99-1","description.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_score.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_id.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","description.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_score.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_id.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","description.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_score.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_id.methylmalonyl-CoA-mutase-EC5-4-99-2","description.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_score.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_id.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","description.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_score.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_id.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","description.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_score.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","hit_id.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","description.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","pathway"
"720","Butyricimonas_synergistica",592.4,"NZ_KB903359.1_57/30-420","Butyricimonas_synergistica_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",165.1,"NZ_KB903359.1_56/1-140","Butyricimonas_synergistica_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",231.9,"NZ_KB903359.1_53/1-132","Butyricimonas_synergistica_methylmalonyl-CoA-epimerase-EC5-1-99-1",907.4,"NZ_KB903359.1_54/1-519","Butyricimonas_synergistica_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",115.2,"NZ_KB903359.1_55/1-111","Butyricimonas_synergistica_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",842.9,"NZ_KB903360.1_317/5-625","Butyricimonas_synergistica_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"814","Cloacibacillus_evryensis",550.9,"NZ_KK073872.1_2309/3-372","Cloacibacillus_evryensis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",139.1,"NZ_KK073872.1_797/1-129","Cloacibacillus_evryensis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",226.4,"NZ_KK073872.1_794/1-133","Cloacibacillus_evryensis_methylmalonyl-CoA-epimerase-EC5-1-99-1",862.5,"NZ_KK073872.1_795/8-518","Cloacibacillus_evryensis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",87.8,"NZ_KK073872.1_796/1-127","Cloacibacillus_evryensis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",822.1,"NZ_KK073872.1_401/19-726","Cloacibacillus_evryensis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"820","Cloacibacillus_porcorum",552.2,"NZ_CP016757.1_2405/3-372","Cloacibacillus_porcorum_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",141.4,"NZ_CP016757.1_865/1-133","Cloacibacillus_porcorum_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",225.5,"NZ_CP016757.1_862/1-133","Cloacibacillus_porcorum_methylmalonyl-CoA-epimerase-EC5-1-99-1",862.2,"NZ_CP016757.1_863/8-518","Cloacibacillus_porcorum_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",83,"NZ_CP016757.1_864/10-125","Cloacibacillus_porcorum_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",819.7,"NZ_CP016757.1_2679/11-727","Cloacibacillus_porcorum_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"854","Clostridium_bifermentans",587.2,"NZ_CP079737.1_1103/3-393","Clostridium_bifermentans_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",163.3,"NZ_CP079737.1_1102/1-126","Clostridium_bifermentans_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",220.8,"NZ_CP079737.1_1099/1-135","Clostridium_bifermentans_methylmalonyl-CoA-epimerase-EC5-1-99-1",918.8,"NZ_CP079737.1_1100/2-515","Clostridium_bifermentans_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",97.1,"NZ_CP079737.1_1101/1-121","Clostridium_bifermentans_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",585.4,"NZ_CP079737.1_1096/3-552","Clostridium_bifermentans_methylmalonyl-CoA-mutase-EC5-4-99-2",685.5,"NZ_CP079737.1_1100/3-513","Clostridium_bifermentans_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"888","Clostridium_glycolicum",575.4,"NZ_KE392229.1_115/4-398","Clostridium_glycolicum_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",134.7,"NZ_KE392229.1_116/1-126","Clostridium_glycolicum_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",209.7,"NZ_KE392229.1_119/1-135","Clostridium_glycolicum_methylmalonyl-CoA-epimerase-EC5-1-99-1",903.3,"NZ_KE392229.1_118/4-515","Clostridium_glycolicum_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",80.9,"NZ_KE392229.1_117/1-121","Clostridium_glycolicum_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",581,"NZ_KE392229.1_122/6-550","Clostridium_glycolicum_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"956","Clostridium_sordellii",585,"NZ_CP014150.1_1242/3-393","Clostridium_sordellii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",158.1,"NZ_CP014150.1_1241/1-126","Clostridium_sordellii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",224,"NZ_CP014150.1_1238/1-135","Clostridium_sordellii_methylmalonyl-CoA-epimerase-EC5-1-99-1",914.8,"NZ_CP014150.1_1239/2-515","Clostridium_sordellii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",104.8,"NZ_CP014150.1_1240/1-117","Clostridium_sordellii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",587.9,"NZ_CP014150.1_1235/3-552","Clostridium_sordellii_methylmalonyl-CoA-mutase-EC5-4-99-2",679.8,"NZ_CP014150.1_1239/3-513","Clostridium_sordellii_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"968","Clostridium_sticklandii",576.1,"NC_014614.1_931/2-402","Clostridium_sticklandii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",149,"NC_014614.1_930/1-128","Clostridium_sticklandii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",225.6,"NC_014614.1_927/1-135","Clostridium_sticklandii_methylmalonyl-CoA-epimerase-EC5-1-99-1",901.4,"NC_014614.1_928/2-513","Clostridium_sticklandii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",116.4,"NC_014614.1_929/1-133","Clostridium_sticklandii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",583.8,"NC_014614.1_924/7-556","Clostridium_sticklandii_methylmalonyl-CoA-mutase-EC5-4-99-2",687.8,"NC_014614.1_928/1-510","Clostridium_sticklandii_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1005","Coprobacter_fastidiosus",615,"NZ_RBXN01000006.1_8/9-385","Coprobacter_fastidiosus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",183.4,"NZ_RBXN01000006.1_9/1-142","Coprobacter_fastidiosus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",251.3,"NZ_RBXN01000006.1_12/1-136","Coprobacter_fastidiosus_methylmalonyl-CoA-epimerase-EC5-1-99-1",932.7,"NZ_RBXN01000006.1_11/3-517","Coprobacter_fastidiosus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",86.5,"NZ_RBXN01000006.1_10/182-289","Coprobacter_fastidiosus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",839.5,"NZ_RBXN01000010.1_80/1-620","Coprobacter_fastidiosus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1011","Coprobacter_secundus",614,"NZ_AP023322.1_1200/7-385","Coprobacter_secundus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",188.5,"NZ_AP023322.1_1199/1-143","Coprobacter_secundus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",248.6,"NZ_AP023322.1_1196/1-136","Coprobacter_secundus_methylmalonyl-CoA-epimerase-EC5-1-99-1",933.3,"NZ_AP023322.1_1197/3-517","Coprobacter_secundus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.4,"NZ_AP023322.1_1198/184-292","Coprobacter_secundus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",839.4,"NZ_AP023322.1_340/1-620","Coprobacter_secundus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1314","Eubacterium_tenue",586.9,"NZ_JADPFO010000001.1_1056/3-393","Eubacterium_tenue_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",156.6,"NZ_JADPFO010000001.1_1057/1-126","Eubacterium_tenue_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",223.5,"NZ_JADPFO010000001.1_1060/1-135","Eubacterium_tenue_methylmalonyl-CoA-epimerase-EC5-1-99-1",917.5,"NZ_JADPFO010000001.1_1059/2-515","Eubacterium_tenue_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",95.2,"NZ_JADPFO010000001.1_1058/1-122","Eubacterium_tenue_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",589.9,"NZ_JADPFO010000001.1_1063/6-553","Eubacterium_tenue_methylmalonyl-CoA-mutase-EC5-4-99-2",685.7,"NZ_JADPFO010000001.1_1059/3-513","Eubacterium_tenue_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1448","Intestinimonas_butyriciproducens",570.7,"NZ_MJII01000001.1_2884/3-447","Intestinimonas_butyriciproducens_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",148.9,"NZ_MJII01000001.1_2885/1-129","Intestinimonas_butyriciproducens_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",210.4,"NZ_MJII01000001.1_2888/1-134","Intestinimonas_butyriciproducens_methylmalonyl-CoA-epimerase-EC5-1-99-1",896.9,"NZ_MJII01000001.1_2887/3-513","Intestinimonas_butyriciproducens_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",75.3,"NZ_MJII01000001.1_2886/4-110","Intestinimonas_butyriciproducens_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",816.9,"NZ_MJII01000001.1_2882/17-727","Intestinimonas_butyriciproducens_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1605","Megamonas_funiformis",559.2,"NZ_AP024966.1_1557/2-370","Megamonas_funiformis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",148.8,"NZ_AP024966.1_1580/1-123","Megamonas_funiformis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",206.9,"NZ_AP024966.1_1583/1-135","Megamonas_funiformis_methylmalonyl-CoA-epimerase-EC5-1-99-1",888.4,"NZ_AP024966.1_1582/3-509","Megamonas_funiformis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",77.6,"NZ_AP024966.1_1558/4-90","Megamonas_funiformis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",582.1,"NZ_AP024966.1_1586/6-546","Megamonas_funiformis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1611","Megamonas_hypermegale",560,"NZ_LT906446.1_268/1-370","Megamonas_hypermegale_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",150.1,"NZ_LT906446.1_1211/1-124","Megamonas_hypermegale_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",208.5,"NZ_LT906446.1_1214/1-135","Megamonas_hypermegale_methylmalonyl-CoA-epimerase-EC5-1-99-1",895.4,"NZ_LT906446.1_1213/3-511","Megamonas_hypermegale_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",78.8,"NZ_LT906446.1_267/4-96","Megamonas_hypermegale_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",582,"NZ_LT906446.1_1217/5-546","Megamonas_hypermegale_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1738","Negativicoccus_succinicivorans",548.9,"NZ_JACHHI010000006.1_37/3-371","Negativicoccus_succinicivorans_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",154.7,"NZ_JACHHI010000006.1_38/1-129","Negativicoccus_succinicivorans_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",197.9,"NZ_JACHHI010000006.1_41/3-137","Negativicoccus_succinicivorans_methylmalonyl-CoA-epimerase-EC5-1-99-1",873.1,"NZ_JACHHI010000006.1_40/4-509","Negativicoccus_succinicivorans_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",95.7,"NZ_JACHHI010000006.1_39/5-111","Negativicoccus_succinicivorans_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",576.4,"NZ_JACHHI010000006.1_44/15-545","Negativicoccus_succinicivorans_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1777","Odoribacter_splanchnicus",596.9,"NZ_CP086000.1_3286/30-420","Odoribacter_splanchnicus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",169.7,"NZ_CP086000.1_3287/1-139","Odoribacter_splanchnicus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",232.8,"NZ_CP086000.1_3290/1-133","Odoribacter_splanchnicus_methylmalonyl-CoA-epimerase-EC5-1-99-1",910.7,"NZ_CP086000.1_3289/3-520","Odoribacter_splanchnicus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",109.1,"NZ_CP086000.1_3288/1-110","Odoribacter_splanchnicus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",835.7,"NZ_CP086000.1_2786/11-715","Odoribacter_splanchnicus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1814","Parabacteroides-johnsonii-DSM-18315-MAF-2",608.9,"1_1879/16-397","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",195.9,"1_1878/1-142","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",243.5,"1_1875/1-133","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",940.7,"1_1876/3-517","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",103.6,"1_1877/174-291","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",854.7,"1_2413/1-620","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1820","Parabacteroides-merdae-ATCC-43184-MAF-2",612.1,"1_482/17-397","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",196.4,"1_483/1-142","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244.3,"1_486/1-133","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",940.7,"1_485/3-517","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",96.4,"1_484/176-290","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",856.3,"1_62/1-620","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1826","Parabacteroides-sp-D13-MAF-2",610.3,"1_165/9-385","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",193.7,"1_166/1-142","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244,"1_169/1-134","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.3,"1_168/3-517","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",93.4,"1_167/176-291","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",845.1,"1_2816/1-618","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1832","Parabacteroides_distasonis",610.3,"NZ_CP050956.1_2684/9-385","Parabacteroides_distasonis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",193.7,"NZ_CP050956.1_2685/1-142","Parabacteroides_distasonis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244,"NZ_CP050956.1_2688/1-134","Parabacteroides_distasonis_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.3,"NZ_CP050956.1_2687/3-517","Parabacteroides_distasonis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",93.4,"NZ_CP050956.1_2686/176-291","Parabacteroides_distasonis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",842.9,"NZ_CP050956.1_762/1-618","Parabacteroides_distasonis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1838","Parabacteroides_faecis",611.1,"NZ_JACHOC010000013.1_87/5-385","Parabacteroides_faecis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194.6,"NZ_JACHOC010000013.1_88/1-142","Parabacteroides_faecis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",245.3,"NZ_JACHOC010000013.1_91/1-134","Parabacteroides_faecis_methylmalonyl-CoA-epimerase-EC5-1-99-1",940.6,"NZ_JACHOC010000013.1_90/3-517","Parabacteroides_faecis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",96,"NZ_JACHOC010000013.1_89/179-290","Parabacteroides_faecis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",843.7,"NZ_JACHOC010000010.1_16/1-619","Parabacteroides_faecis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1844","Parabacteroides_goldsteinii",611.8,"NZ_CP081906.1_612/10-385","Parabacteroides_goldsteinii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",195.5,"NZ_CP081906.1_613/1-142","Parabacteroides_goldsteinii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",245.1,"NZ_CP081906.1_616/1-135","Parabacteroides_goldsteinii_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.5,"NZ_CP081906.1_615/3-517","Parabacteroides_goldsteinii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",96.5,"NZ_CP081906.1_614/179-290","Parabacteroides_goldsteinii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",843.9,"NZ_CP081906.1_5501/1-619","Parabacteroides_goldsteinii_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1850","Parabacteroides_gordonii",609.4,"NZ_JAIWZF010000001.1_106/5-385","Parabacteroides_gordonii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194.8,"NZ_JAIWZF010000001.1_105/1-142","Parabacteroides_gordonii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",245,"NZ_JAIWZF010000001.1_102/1-133","Parabacteroides_gordonii_methylmalonyl-CoA-epimerase-EC5-1-99-1",940.7,"NZ_JAIWZF010000001.1_103/3-517","Parabacteroides_gordonii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",99.9,"NZ_JAIWZF010000001.1_104/184-290","Parabacteroides_gordonii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",847.7,"NZ_JAIWZF010000001.1_2524/1-619","Parabacteroides_gordonii_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1915","Phascolarctobacterium_faecium",561.7,"NZ_AP019004.1_895/1-373","Phascolarctobacterium_faecium_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",155.2,"NZ_AP019004.1_894/1-130","Phascolarctobacterium_faecium_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",183.8,"NZ_AP019004.1_887/1-137","Phascolarctobacterium_faecium_methylmalonyl-CoA-epimerase-EC5-1-99-1",889.5,"NZ_AP019004.1_888/1-508","Phascolarctobacterium_faecium_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",96,"NZ_AP019004.1_893/2-108","Phascolarctobacterium_faecium_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",807.9,"NZ_AP019004.1_853/22-723","Phascolarctobacterium_faecium_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1921","Phascolarctobacterium_succinatutens",558.8,"NZ_CABKPS010000054.1_16/3-374","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",158.2,"NZ_CABKPS010000046.1_69/1-129","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",183.5,"NZ_CABKPS010000046.1_66/2-139","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-epimerase-EC5-1-99-1",885.2,"NZ_CABKPS010000046.1_67/1-508","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",105.9,"NZ_CABKPS010000046.1_68/2-110","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",775.6,"NZ_CABKPS010000015.1_42/14-725","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1929","Phocaeicola_vulgatus",613,"NZ_AP025240.1_2480/8-385","Phocaeicola_vulgatus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.3,"NZ_AP025240.1_2481/1-143","Phocaeicola_vulgatus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.7,"NZ_AP025240.1_2484/1-137","Phocaeicola_vulgatus_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.8,"NZ_AP025240.1_2483/3-517","Phocaeicola_vulgatus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.3,"NZ_AP025240.1_2482/178-304","Phocaeicola_vulgatus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",869.8,"NZ_AP025240.1_310/1-635","Phocaeicola_vulgatus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"1960","Porphyromonas_gingivalis",608.1,"NC_010729.1_469/9-382","Porphyromonas_gingivalis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",184.8,"NC_010729.1_468/1-147","Porphyromonas_gingivalis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",236.1,"NC_010729.1_464/1-133","Porphyromonas_gingivalis_methylmalonyl-CoA-epimerase-EC5-1-99-1",937,"NC_010729.1_465/6-517","Porphyromonas_gingivalis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",77.3,"NC_010729.1_466/194-305","Porphyromonas_gingivalis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",824.1,"NC_010729.1_426/19-712","Porphyromonas_gingivalis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"2268","Selenomonas_noxia",545.7,"NZ_JH376857.1_559/4-374","Selenomonas_noxia_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",159.8,"NZ_JH376857.1_408/1-132","Selenomonas_noxia_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",207.7,"NZ_JH376857.1_411/1-137","Selenomonas_noxia_methylmalonyl-CoA-epimerase-EC5-1-99-1",902.2,"NZ_JH376857.1_410/3-509","Selenomonas_noxia_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",107.7,"NZ_JH376857.1_560/1-114","Selenomonas_noxia_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",778,"NZ_JH376857.1_517/16-710","Selenomonas_noxia_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"2274","Selenomonas_ruminantium",559.1,"NZ_AUJE01000018.1_6/4-375","Selenomonas_ruminantium_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",146.2,"NZ_AUJE01000006.1_21/1-127","Selenomonas_ruminantium_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",199.7,"NZ_AUJE01000006.1_18/1-137","Selenomonas_ruminantium_methylmalonyl-CoA-epimerase-EC5-1-99-1",897.5,"NZ_AUJE01000006.1_19/3-509","Selenomonas_ruminantium_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",105.6,"NZ_AUJE01000018.1_5/1-113","Selenomonas_ruminantium_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",791.3,"NZ_AUJE01000031.1_7/19-709","Selenomonas_ruminantium_methylmalonyl-CoA-mutase-EC5-4-99-2",680.2,"NZ_AUJE01000006.1_19/3-507","Selenomonas_ruminantium_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
